"Ref","OND_Node_Title","tlahtolli","IDIEZ gramática","IDIEZ def. náhuatl","IDIEZ def. español","SShort_IDIEZ","IDIEZ traduc. inglés","IDIEZ morfología","Credit"
"WHP-204398","tlaxtlāhua.","tlaxtlāhua.","tlach2.","ni. Macehualli temaca tomin pampa quichihuilqueh ce tequitl, zo pampa quicouhqui ce tlamantli zo pampa tlahuica. “Notatah nochipa itlamiyan metztli tlaxtlahua campa tlahuica. ” ","# Persona da dinero porque le hicieron un trabajo o porque vende una cosa. “mi papa siempre cada mes paga porque debe.”","","to pay.","tla1, ixtlāhua.","IDIEZ"
"WHP-204399","toca.","toca.","tlach1.","1. TŌTOCA, NELTOCA huan TEPOTZTOCA iyollo; axcanah motequihuia icelti. nic. Macehualli, tecuani, zo tlapiyalli quiicxinehuia ceyoc campa yahtoc [Mc. 148r]. 2. Tlahtolli tlen axcualli. nic. /timo. Tecuani, tlapiyalli zo ce tlacatl huan ce cihuatl tlahuel monetechoah zo momamah quemman itztoqueh zancehco. “Tohhuantin tiquinpantihqueh ne cuatitlan iconeuh Doroteo tlen cihuatl huan iconeuh Rosy tlen tlacatl motocaticateh, hueliz pampa huihuimeh huan axpinahuah. ”","# una hombre y una mujer se orillan juntos. “nosotras cachamos alla en el monte a la hija de Doroteo y su hija Rosy el hombre se llama, a lo mejor huihuis y noles da verguernza”.","","1. only used in composition with TŌTOCA and TEPOTZTOCA. to follow s.o. 2. for a person or an animal to copulate with another (vulgar).","","IDIEZ"
"WHP-204400","xolōni.","xolōni.","tlach2.","ni. Macehualli, tecuani, tlapiyalli zo tlamantli quiahci atl. “Ne conetzin xolonqui yalhuaya huan naman quiconantoc yacatzonpilli. ”","# persona, animal silvestre, animal domestico y cosas, una cosa que le haya agua. “ese bebe se mojo ayer y ahora le dio gripe.”","","to get wet.","","IDIEZ"
"WHP-204401","zānīlhuiā.","zānīlhuiā.","tlach3.","nic. Macehualli huanya monohnotza ceyoc. “Maria axcanah quimaquilia iconeuh quemman axcanah quinequi tlacaquiz, zan quizanilhuia. ”","# Persona habla con otro. “cuando mi hijo no me hace caso, le hablo de eso para que me entienda que le quiero decir.”","","to speak with s.o.","zānīloā, huiā1.","IDIEZ"
"WHP-204402","illiā.","illiā.","tlach3.","1. Quemmantica motequihuia MOLLIĀ ica ya zo inihhuantin. nimo. Macehualli quinehnehuilia ce tlamantli pan itzontecon. “Teresa moillia para na axniyaz tianquiz pampa nimeuhqui tlahcotonaya huan ayinitiztoc. ” 2. Quemmantica motequihuia TLIĀ ica nech, mitz, tech, mech zo quin. niqu. Macehualli zaniloa huanya ceyoc ica ce tlamantli. “Martha quiillia iconeuh ma axcanah mehua pan itohuah pampa huetziz. ” ","A.1. nimo. una persona piensa una cosa en su cabeza.”Teresa se dice que yo no voy a ir a la plaza porque quiero moler”. 2. niqu. una persona habla con alguien de una cosa. “Martha le dice a su hijo no se levante en su cuna porque se va a caer”. B. 1. se dice él mismo. 2. platican de algo. ","","1. to think s.t. 2. to say s.t. to s.o.","ilhuiā (molocotz. )","IDIEZ"
"WHP-204403","nahuā.","nahuā.","tlach4.","nic. Macehualli quitlalana ce acahya, ce tlapiyalli zo ce tlamantli ica ome imah huan quitlalia iyolixco. ”Manuel quemman quinahua ipilchocho mocehuia pampa quimahuilia quitlahuizoz. ”","	A. Persona que levanta a alguien con sus dos manos y lo pone en su frente o en su pecho. ”Manuel carga un bebe.” 	B. Cargar ","","to pick up and carry s.o. or s.t. in one’s arms.","","IDIEZ"
"WHP-204404","tlācayō.","tlācayō.","tlap.","no. Nochi tlen zahzaliuhtoc tlen ce macehualli: itzontecon, iquechcuayo, iyolixco, iihti, icuitlapan, imah, imetz, iicxi, icuetlaxxo, iihhuiyo, itzintamal; iezzo, inacayo, itlallo huan nochi tlamantli tlen quipiya iihtico. “Na nechcocoa nochi notlacayo pampa yalhuaya tlahuel nitequitic huan axnimociauhcahtoc cualli. ” ","","","s.o.’s body.","tlācatl, yō.","IDIEZ"
"WHP-204405","īxcāmpan.","īxcāmpan.","tlap.","no. Ce achi iixxayac icuetlaxxo macehualli, tecuani zo tlapiyalli tlen quitzacuilia itlacuahcual quemman quicuahcua. “Noixcampan nechcuahqui ce moyotl huan naman niixpihpintohtic. ”","# no. Un poco de la cara del cuero de una persona, un animal Silvestre y un animal domestico que topa la comida. “En mis cachetes me picó un sacudo y ahora se me ha hinchado”.","","in or on s.o.’s cheek.","īxtli, cāmpan.","IDIEZ"
"WHP-204406","īxtēnihhuiyō.","īxtēnihhuiyō.","tlap.","no. Ce achi iihhuiyo macehualli, tecuani zo tlapiyalli tlen eli iixtiyoltenno huan motequihuia para axcanah mixcuateuhhuiz. “Maribel quitlatih iixtenihhuiyo quemman quitlipichiyaya icomal. ”","# no.  Un poco del cuero de una persona, un animal silvestre y un animal domestico que nace en la orilla del ojo y se usa para que no se meta basuritas. “Maribel quemó sus pestañas cuando prendía de donde calienta el agua”.","","s.o. or s.t.’s eyelashes.","īxtli, tēnihhuiyō.","IDIEZ"
"WHP-204407","metzihhuiyō.","metzihhuiyō.","tlap.","no. Ce achi tlen itlacayo macehualli, tecuani zo tlapiyalli tlen quiza pan imetz quenhuac ce tzoncalli. “Ne oquichpil tlahuel miac quipiya imetzihhuiyo huan nocca cuecuetztzin. ”","# No. Una parte del cuerpo de una persona, animal silvestre y animal domestico que nace como cabello que tapa la pierna. “Ese niño tiene muchos cabellos en la pierna y aún es pequeño”.","","s.o. or s.t.’s leg hair.","metztli, ihhuiyō.","IDIEZ"
"WHP-204408","māomiyō.","māomiyō.","tlap.","no. Ce achi tlen iomiyo macehualli, tecuani zo tlapiyalli campa zahzaliuhtoc imah. “Carlos huanya Alberto mohuilanqueh yalhuaya; naman Carlos quicocoa imaomiyo. ”","# No. Una parte del hueso de una persona, animal silvestre y animal domestico donde están unidos sus dedos. “Carlos y Alberto se pelearon ayer; ahora Carlos le duele el hueso de la mano”.","","the bones of s.o. or s.t.’s hand.","māitl, omiyō.","IDIEZ"
"WHP-204409","ēlchiquititlan.","ēlchiquititlan.","tlap.","no. Ce achi itlacayo macehualli tlen eltoc nechca iellan. “Juana quimaquilqui ichocho ielchiquititlan huan naman tzahtziticah pampa quicocoa. ” ","","","(next to s.o.’s) ribs.","ēlchiquihuitl, ti3, tlan.","IDIEZ"
"WHP-204410","nacaztarara.","nacaztarara.","quen.","ni. Macehualli tlen axcanah quicaqui tlahtolli quemman ce quinohnotzah. “Ne Adrian nacaztarara pampa quemman quinohnotzah axcanah tlananquilia. “","","","a person who is stubborn or who does not pay attention to what they are told.","nacaztli, tarado (huahca. )","IDIEZ"
"WHP-204411","quechcuahuitl.","quechcuahuitl.","tlat.","Cuahuitl tlen quitlalhuiliah ce tlapiyalli ipan iquechcuayo quemman panquiza campa quicauhtoqueh. “’Ne conetoroh xitlalhuilican quechcuahuitl huan iuhquinon axcanah temilcalaquiz. ”","","","forked or straight stick tied to the neck of a pig or bull so that is will not leave the corral.","quechtli, cuahuitl.","IDIEZ"
"WHP-204412","māiztitl.","māiztitl.","tlat.","no. Ce achi tlen pan imahpil macehualli mozcaltia quentzin chipahuac, quentzin tilahuac, huan ica tlatziquipiloa. “Angela quicocoa imaizti pampa tlahuel quitoxomayaya pan tetl quemman tlachcueniyaya. ” 2. i. Ce achi tlen pan imah zo imahpil tecuani zo tlapiyalli mozcaltia, huan ica tlahuahuana. “Andres icahuayoh quicocoa imaizti pampa axcualli quitlahuilqueh imatepoz. ”","# No. Una persona, animal silvestre y animal domestico que le crece en la parte superior del dedo de la mano o del dedo del pie. “Las uñas de aquella abuelita, son muy gruesas y ya no puede cortarlos”.","","s.o. or s.t.’s fingernail.","māitl, iztitl.","IDIEZ"
"WHP-204413","tzīmpān.","tzīmpān.","tlap.","no. Ce achi tlen itzinquechtlan macehualli, tecuani huan tlapiyalli campa tlatzquitoc itzintamal huan techpalehuia ica timocehuizceh. ""Nechcocoa notzimpan pampa huahcauhqui nimopachtoya quemman nitlamehuayaya. ""","# No.  Una persona, animal silvestre y animal domestico una parte de la cintura de donde está pegada la nalga y nos ayuda para sentarnos. “Me duele mi nalga porque tardé en estar agachada cuando escardaba”.","","lower back.","tzīntli, pan.","IDIEZ"
"WHP-204415","cōtztlan.","cōtztlan.","tlap.","1. no. Ce achi imetz macehualli tlen eltoc icotzican. “Nimotecqui nocotztlan pampa ninehnenqui campa oncah miac cuahuitl tlen yacahuiztic. ” 2. no. Pan ce achi imetz macehualli tlen eltoc icotzican. “Yehuahcauh tlatzquih ce chachococuilin nocotztlan huan nechcuahqui. ”","# no. Un poco de la pierna de una persona donde está cerca de su pie. “Me corté en mi pierna porque caminé donde había muchos palos”.","","1. s.o.’s calf (leg). 2. on s.o.’s calf.","cōtztli, tlan.","IDIEZ"
"WHP-204416","tzoncuetlaxxō.","tzoncuetlaxxō.","tlap.","no. Ce achi tlen icuetlaxxo macehualli huan tecuani tlen quitzaqua itzontecon. “Zan pan notzoncuetlaxxo tlahuel ahhuayohua; hueliz quiztozceh pilcocotzitzin. ”","","","s.o. or an animal’s scalp.","tzontli, cuetlaxxō.","IDIEZ"
"WHP-204417","tlahcoyān.","tlahcoyān.","tlap.","no. Ce achi itlacayo macehualli zo tecuani campa monamiqui itzinquechtlan huan icuitlapan. Diana tlahuel quicocoa itlahcoyan, yeca axhueli mopachoa. ”","# una parte de su cuerpo de la persona y animal silvestre donde se une la cintura y la espalda. ","","s.o.’s waist.","tlahco, yān.","IDIEZ"
"WHP-204418","tlancuāitl.","tlancuāitl.","tlat.","no. Ce achi itlacayo macehualli, tlapiyalli zo tecuani tlen eltoc zan tlatlahco campa tzinpehua ce imetz huan campa tzontlami ce iicxi. “Lupita itlancuah lichintoc pampa huetzqui tlanempan quemman yohuiyaya campa tlanamacah. ”","# no. Un poco de su cadera en la parte de abajo y está donde termina la pierna y empieza el pie. “La rodilla de Lupita se ha hinchado porque se cayó en el patio cuando iba donde venden”.","","s.o. or s.t.’s knee.","tlantli, cuāitl.","IDIEZ"
"WHP-204419","xīctli.","xīctli.","tlat.","no. Ce achi itlacayo pilconetzin tlen ontlacatiyoc; eltoc tlahco iihti, tlachiya quence pililohtzin achichipahuac; teipan tetlalanquetl quitequi, huan ipiltzonyo tlen mocahua pehua huaqui huan huetzi icelti. “Celia iconeuh quemman quitequilihqueh ixic teipan peuhqueh quitlahtlatiliah ica ceboh pampa quinecqueh ma ixhuaqui niman. ” ","# no. Es una parte del cuerpo de un bebé cuando es recién nacido y se parece como un hilo medio blanco y está en medio de su estomago, después la partera lo corta, empieza a secarse y se caí. “Un bebé cuando le cortan el condón después empiezan a ponerle la manteca del ganado porque quiere que se seque antes”.","","s.o.’s umbilical cord.","","IDIEZ"
"WHP-204421","nacazcuitlatl.","nacazcuitlatl.","tlat.","no. Ce tlamantli tlen tlachiya quenhuac cerah tlen quiza inacazco macehualli, tlahpiyalli zo tecuani. “Maria Elena neci inacazcuitl pampa axmaltihtoc. ”","# un poco de lo que hay adentro de la oreja una persona y animal domestico y sale cuando no se limpia las orejas. “Maria Elena se ve caca en su oreja por que n se ha bañado”.","","s.o. or s.t.’s earwax.","nacaztli, cuitlatl.","IDIEZ"
"WHP-204422","īxcuetlaxxō.","īxcuetlaxxō.","tlap.","no. Ce achi icuetlaxxo macehualli, tecuani zo tlapiyalli tlen quitzacua yahualtic iixtiyol. “Ne piltenantzin iixcuetlaxxo xoxolochtic mocauhquiya. ”","# no. Un poco del cuero de la cara de una persona, un animal Silvestre y un animal domestico que encierra alrededor de su ojo. “Esa abuelita el cuero de su cara se quedó arrugada”.","","s.o. or s.t.’s eyelids.","īxtli, cuetlaxxō.","IDIEZ"
"WHP-204423","quechtlatolohuayō.","quechtlatolohuayō.","tlap.","no. Ce achi iquechcuayo macehualli zan piltolontzin, tlen quipanoltia itlacual quemman moquechtoloa. “Cequin macehualmeh tlahuel neci ininquechtlatolohuayo. ”","# no. Un poco del cuello de una persona nada más está redondo, que pasa su comida cuando lo traga. “Algunas personas se ve mucho cuando lo pasan la comida”.","","s.o.’s adam’s apple.","quechtli, tla1, toloā, hua2, yō.","IDIEZ"
"WHP-204425","chalolo.","chalolo.","tlat.","Mantecaxxoh icacahuayo tlen pan calactoya. “Pan xalli oncah miac chalolomeh pampa nopa xalli huallauh pan hueyi atl. ”","","","uninhabited snail shell.","","IDIEZ"
"WHP-204426","mantecaxxoh.","mantecaxxoh.","tlat.","Pilocuiltzin tlen cuapatlachtic, xolontoc huan tzotzoltic; iixnezca cafentic; itztoc pan atl zo quemmantica pan tlalli zo tetzalan. “Sabina motemahmauhtih pampa quiittac ce mantecaxxoh campa motilantoya hueyi. ”","# Gusanito, que es anchito, húmedo, blandito y es de color café; camina en la tierra. “Sabina se espantó porque vio a un mantecaxo, que estaba pegado en su zapato”. ","","snail.","mantecah, yoh.","IDIEZ"
"WHP-204427","cuilōtl.","cuilōtl.","tlat.","ce tlamantli cuahuitl tlen eli zan xitlahuac huan huehueyac; axtlahuel tomahuac, zan cualli; huan icuayo tlahuel tzilintic; cualli moyacatia pampa yehyectzin tlatla. “Maria quicuic cuilotl pampa tlahuel yehyectzin quinamiqui tlitl.” ","","","","","IDIEZ"
"WHP-204428","cuilōyoh.","cuilōyoh.","quen.","Canayah campa tlahuel oncah ce tlamantli cuahuitl tlen itocah cuilotl. “Juan Tomas itlaltipan tlahuel cuiloyoh, huan yeca axquinequi tlayiz. ”","","","place where there are many cuilocuahuitl trees.","cuilōtl, yoh.","IDIEZ"
"WHP-204429","tātahtli.","tātahtli.","tlat.","no. Macehualli inanan itetah tlen quitlacatilih. “Enedina itatah quinpiya ome pitzomeh tlen quintomahua pampa quinequi quinmictiz ilhuititlan. ”","","","s.o.’s father.","tahtli (tlaomp. )","IDIEZ"
"WHP-204430","nānāntli.","nānāntli.","tlat.","no. Macehualli itatah icihuauh tlen quitlacatilih. “Conemeh yahqueh quinotzatoh Celtzin inanan. ”","","","s.o.’s mother.","nāntli (tlaomp. )","IDIEZ"
"WHP-204431","quēnquetzolli.","quēnquetzolli.","tlat.","no. Ce achi tlen icamac macehualli zo tecuani; eltoc icamatzalan huan quitequihuia ica camachaloz. “Ana iquenquetzol tlahuel huehueyac pampa itatah quennopa quipixtoc. ”","# no. Una parte de la boca de una persona y un animal silvestre; se encuentra debajo de su boca y lo usa para abrir la boca. “La barbilla de Anna está muy largo porque así lo tiene”.","","s.o. or s.t.’s chin.","","IDIEZ"
"WHP-204432","tōctli.","tōctli.","tlat.","ce tlamantli tlacualiztli; icuayo iixnezca quence acatl zampampa xoxoctic; nopayo quiza elotl huan teipan cintli. “Martin quipahtia toctli zan ichicuextiyan quemman quitoca pampa axquinequi ma ocuillohua.”","","","corn plant.","","IDIEZ"
"WHP-204433","mōlcatl.","mōlcatl.","tlat.","Ce tlamantli cintli piciltzitzin tlen quixipehuah quemman pixcah. “Agustin quemman pixca imillah, quiquixtia miac molcatl huan quentzin petlayoh. ”","","","the smallest of the two types of corn; it’s husk is removed immediately upon harvesting.","","IDIEZ"
"WHP-204434","petlayō.","petlayō.","tlap.","i. Ipanpicca ce tlamantli cuatlacquetl. “Ayohtli quemman chicahuacca ipetlayo eli nelchicahuac huan tlahuel ohuih moxihxima. ” ","","","rind or skin of a fruit or vegetable.","petlatl, yō.","IDIEZ"
"WHP-204436","tlaxītini.","tlaxītini.","tlach2.","Pehua quiza nochi toctli imiyahuayo canahya. “Erasmo imillah zanoc tlaxitini pampa teipanya tocqui. ”   ","# Ya retoñan sale la hoja o la mazorca de la mata. “cuando retoñan hasta te va a gustar porque se ve bonito la mata verde.”","","for all the corn plants in a field to flower.","tla6, xitīni.","IDIEZ"
"WHP-204437","mahuaquihtli.","mahuaquihtli.","tlat.","Ce tlamantli coatl tlen temahmauhtih; iixnezca achi quence cafentic, tlahuel tomahuac huan huehueyac quemman mozcaltihtoc. “Mahuaquihtli tlahuel temahmauhtih pampa tlan mitzpantlatzquiz monequi tzahtziz ce borroh para mitzmahcahuaz.”","# Un tipo de víbora que es peligrosa, su color es un poco café, es muy gorda y larga cuando ya a crecido. “La víbora de mahuaquite es muy peligrosa porque si se te pega, se nesecitará que rebuzne un burro para que se te despegue”.","","","","IDIEZ"
"WHP-204438","pani1.","pani1.","tlach. axahci.","Tlamantli tlen moahxitihtocca quitlalhuiliah ceyoc quentzin. “Noma tlanahuatih pantzin huan quemman quicahuilitoh quitlalihqueh macuilli zan pani. ”","	A. una persona agrega un cosa. Tlach. Mi mamá ordeno que le hicieran pan y cuando le vinieron a dejar le pusieron cinco de mas. 	B.de mas.  ","","an amount in excess.","","IDIEZ"
"WHP-204439","tlecānāltiā.","tlecānāltiā.","tlach3.","nic. /nimo. Macehualli quichihua ma yohui ica iixpan ceyoc huan ya quitepotztocatiz. “Mariana motlecanaltia pampa quinequi quiittati ya niman tlanahuatihquetl. ”","# una persona hace que se adelante otra. “Mariana se adelanta porque ella quiere ir a ver luego, luego el presidente”.","","to have s.o. go ahead or go first down the road.","tlecāna, ltiā1.","IDIEZ"
"WHP-204440","cuāyehyēcoā.","cuāyehyēcoā.","tlach3.","1. nic. Macehualli moillia pan itzontecon queniuhqui mocahuaz cualli ce tlamantli. “Santiago quinamacato cintli huan achtohui quicuayehyecoh quezqui tomin quiquixtiz ica inon. ” 2. nic. Macehualli quinecticah quitehuiz ceyoc pan itzontecon. “Noconeuh Jacqui quemman yohui caltlamachtihquetl nochipa quicuayehyecoa ce oquichpil. ”","	A. 1.nic. una persona se dice en su cabeza como quedará bien una cosa. “Santiago fue a vender maiz y primero pensó cuanto dinero sacará con eso”. 2. una persona quiere pegar a alguien en la cabeza. “Mi hija Jacqui cuando va a la escuela, siempre la imita un niño”. 	B. pensar. imitar. ","","1. to think about how to do s.t. 2. to try to hit s.o. on the head.","cuāitl, yehyēcoā.","IDIEZ"
"WHP-204441","yehyēcoā.","yehyēcoā.","tlach3.","1. nic. Macehualli quitemilia ce tlamantli tlacualiztli, huan axcanah quitamachihua, zan pan itzontecon. “Ariel inanan quitlalhuilqui zan ce itzontecon ahoz chiltlacualli huan cheneh ahhuiac elqui pampa zan quiyehyecoh. ” 2. nic. Macehualli, tecuani zo tlapiyalli quinequi quichihuaz ce tlamantli huan axcanah quichihua. “Luis quiyehyecoh cuahuitoniz pan hueyi atl huan axcanah huelqui pampa cuatacanqui pan ce cuamaxalli. ” 3. nic. Macehualli quimachilia ce tlamantli tlacualli tlan ahhuiacca. “Zan quen tlanqui quichihua etlacualli noma nimantzin nicyehyecoh. ”","","","1. to estimate a quantity when adding ingredients to food. 2. to intend to do s.t. and not complete the action. 3. to taste food that is being prepared to see if it is done.","yecoā (tlaomp. )","IDIEZ"
"WHP-204442","ihhuiyō.","ihhuiyō.","tlap.","1. no. Ce achi tlen itlacayo macehualli, tecuani zo tlapiyalli; neci quence pilcuamecatzitzin tlen ixhua pan icuetlaxxo. “Tlamachtihquetl axquinequi ma quitilanilican iihhuiyo pampa tlahuel quicocoa. ” 2. i. Ce achi itlacayo tototl huan piyo tlen quitzacua nochi huan quipalehuia para patlaniz. “Conetotomeh axhueli patlanih pampa axcanah quipiyah miac ininihhuiyo mozcaltiayoc. ”","","","1. s.o.’s body hair. 2. a fowl’s feathers.","ihhuitl, yō.","IDIEZ"
"WHP-204443","ēlihhuiyō.","ēlihhuiyō.","tlap.","no. Iihhuiyo macehualli tlen ixhuatoc itzalan iahcol. “Martha quixinqui ielihhuiyo pampa quinequi moquentiz ce iyoyon mancaxcoton. ”","","","s.o.’s underarm hairs.","ēlli, ihhuiyō.","IDIEZ"
"WHP-204444","cuātzontequi.","cuātzontequi.","tlach2.","1. nic. /nimo. Macehualli quitequi ceyoc pan itzontecon ica ce tlamantli tlatectli. “Quemman ihuintiyaya Agustin quicuic imacheteh pampa quinequiyaya quimaquiliz icihuauh;  zampampa axcanah quiittac, huanquinon quicuatzontecqui iconeuh. ” 2. nech. Ce tlamantli tlatectli quiahci ce acahya itzontecon huan tzayani ce achi icuanacayo. “Quemman Andres quimaximayaya ne cuahuitl, huetzico imacheteh, quiahcito iconeuh huan quicuatzontecqui. ” ","	A.nic./nimo. una persona corta la cabeza de alguien. “Cuando Andrés pelaba ese palo, se vino a caer su machete y le hayó a su hijo y cortó su cabeza”. 	B.cortar la cabeza de alguien.  ","","1. to cut s.o. on their head. 2. for a sharp instrument to cut s.o. on their head.","cuāitl, tzontequi.","IDIEZ"
"WHP-204445","huetzquiliā.","huetzquiliā.","tlach3.","nic. Macehualli quipactia ceyoc. “Diana nochipa quihuetzquilia iicniuh pampa axtlen hueli quichihua. ”","	A. Una persona se rie de otra persona. “Diana siempre se rie de su hermana porque no puede hacer nada”. 	B. Se rie de otra. ","","to laugh at s.o.","huetzca, liā2.","IDIEZ"
"WHP-204446","tēnquīxtiā.","tēnquīxtiā.","tlach3.","nic. Macehualli eli quiihtoa ce tlamantli tlen axcanah monequi zo tlen quiihtohtoyah ma axcanah quiihto. ""Margarita axquinequiz quitenquixtia tlen quichiuhqui yalhuaya. ""","# Nic. Cuando una persona ha dicho una conversación, le dicen que diga la verdad. “Margarita no va a querer decir lo que dijo ayer”.","","to tell the truth.","tēnquīza, tiā2.","IDIEZ"
"WHP-204447","quechtolōnyō.","quechtolōnyō.","tlap.","no. Ce achi iquechcuayo macehualli zan piltolontzin, tlen quipanoltia itlacual quemman moquechtoloa. “Cequin macehualmeh tlahuel neci ininquechtolonyo. ”","# no. Un poco del cuello de una persona que está redondo, que pasa su comida cuando come algo. “Algunas personas se ve mucho la bola que tienen en el cuello”.","","s.o.’s adam’s apple.","quechtli, tolōntli, yō.","IDIEZ"
"WHP-204448","īxpoloā.","īxpoloā.","tlach3.","1. niqu. Tenantzin zo tetahtzin ayoccanah quiixmati ce acahya. “Herminio inanan quiixpoloa iixhuiuh tlen tlaahcitoc huahca pampa axcanah ahachica quipaxaloa. ” 2. niqu. Macehualli quichihua ma ayocneci ce tlamantli. “Quemman tlanqui tlamachtia Roberto quiixpoloh nochi tlen quiihcuiltoya pan huapaltlahcuilolli. ”","# Persona talla un escrito, una foto en un papel o en una mesa para que ya no se vea. “Celtzin borró la foto de su novio porque ya no se hablan”.","","1. to fail to recognize s.o. 2. to erase s.t. or make it disappear.","īxpolihui, oā2.","IDIEZ"
"WHP-204449","cuatopēhua.","cuatopēhua.","tlach2.","nic. Macehualli, tecuani zo tlapiyalli quihuihhuica ceyoc canahya ica imah zo itlacayo. “Eliazar quicuatopeuhqui ce pitzotl huan quiicxicocoh. ”","A. nic. una persona, fiera, y animal doméstico mueve alguien con la mano o con el cuerpo. “Eliazar lo impujó un puerco y se quebro el pie”.","","push s.t. or s.o.","cua, topēhua.","IDIEZ"
"WHP-204450","mahcāhua1.","mahcāhua1.","tlach2.","1. nic. Macehualli quitlahuizoa zo quitepehua ce tlamantli tlen ayocquitequihuiz. “Jesica quicuamahcauhqui itecac tlen zozolticca pan tlazolli. ” 2. nic. /timo. Macehualli tlen quiitzquihtoc ce acahya, ce tlapiyalli zo ce tlamantli ica imah quicahua ma yohui, ma huetzi zo ma elto. “Lidia nochipa quimahcahua icobetah pan itzontecon quemman atlacui. ”","# nic/tomo. Una persona le avienta o tira una cosa. “Mi hermano agarró mi mano y me solté porque hizo enojar”.","","1. to throw s.t. away. 2. to release s.o. or s.t.","māitl, cāhua.","IDIEZ"
"WHP-204451","īxpolihuīltiā.","īxpolihuīltiā.","tlach3.","niqu. Macehualli quichihua ma ayocneci ce tlamantli. “Quiixpolihuiltiah ce tlacoyontli para ma panocan macehualmeh huan axcanah ma huetzican nopayoh. ” ","# Persona que hace que ya no se vea  una cosa. “Tapa un hoyo para que pasen las personas y no se caigan en ella”.","","to erase or remove s.t.","īxpolihui, ltiā1.","IDIEZ"
"WHP-204452","caquihui.","caquihui.","tlach2.","1. CACTOC. Canahya campa hueli icati ce tlamantli. “Nelhueyi cactoc pan ne cuapuertah, hueliz panoc chichi calihtic. ” 2. ni. Ce tlamantli nocca icati campa temitocca. “Pan ne cuacahoh cualli caquihui nochi noyoyon. ” ","# Persona, animal salvaje, animal domestico y algo, todavia puede ir en un lugar o cosa donde haya un espacio vacio”. “En esa caja bien que caba mi ropa”.","","1. place where s.t. fits. 2. to fit somwhere.","cactli2, ihui1.","IDIEZ"
"WHP-204453","tlatoctli.","tlatoctli.","tlat.","1. Tlen axhuahcahua. “Namantzin niyaz cuatenno huan pan ce tlatoctli nihuallaz. ” 2. Zan motzinpihuilia ce tlachihualiztli. Tlen mochihua nimantzin huan nelchicahuac. ""Quemman cuatzahtzi ce tlacatl pan ce acahya, nimantzin quitlatocnanquiliah. ""","","","1. a moment. 2. immediately and quickly.","","IDIEZ"
"WHP-204454","īxcuati.","īxcuati.","tlach2.","ni. Macehualli ciohui iixtiyol. “Tlahuel niixcuati pampa mohmoztla nitlahcuiloa pan tepoztlahcuilolli. ” ","# Persona le cansa los ojos. “siempre me canso de los ojos porque diario trabajo en la computadora.” ","","for one’s eyes to tire.","īxtli, cuati.","IDIEZ"
"WHP-204455","cequīnoc.","cequīnoc.","tlat.","Macehualmeh, tlapiyalmeh, tecuanimeh zo ce tlamantli tlen itztoqueh zo eltoqueh iyoca ica ceyoqueh. “Cequinoc macehualmeh huallahqueh yalhhuaya quiittacoh campa titequitih. ” ","","","others.","cequīn, oc.","IDIEZ"
"WHP-204456","tlacecēyallōtl.","tlacecēyallōtl.","tlat.","1. Tlen quichihua ma tlaceceya. ""Pan metztli tlen diciempreh tlahuel monechcahuia tlaceceyallotl huan yeca macehualmeh tlahuel cececuih. "" 2. Ce canahya campa tlahuel tlaceceya. “Nototatah imillah tlahuel oncah tlaceceyallotl pampa cuatinih tlahuel huehhueyi. ” 3. Tlamantli tepoztli tlen macehualli quitequihuia para quitlaliz ce tlamantli para ma eli cecec huan axcanah ihtlacahuiz. “Alejandra quinahuatihqueh ma contlalli ne cacatl pan tlaceceyallotl pampa tlahuel tona huan hueliz ihtlacahui. ”","","","1. deity that causes cold weather. 2. place where it is very cold. 3. refrigerator.","tlacecēyalli, yō.","IDIEZ"
"WHP-204457","tēmpān.","tēmpān.","tlap.","no. Macehualli itenxipal. “Juan Tomas quitzoconih ce ichpocatl pan itempan. ”","","","s.o.’s lips.","tēntli, pan.","IDIEZ"
"WHP-204458","tlanahuatilli.","tlanahuatilli.","tlat.","Tlen quiiltoqueh zo quinahuatihtoqueh ma quichihua ce macehualli. ""Margarita quititlanqui ichocho ma quihuica ce tlanahuatilli ica tlamachtihquetl pampa ya mococoa. ""","","","an order or directive.","tla1, nahuatiā (tlachiuhtli).","IDIEZ"
"WHP-204459","itzquīltiā.","itzquīltiā.","tlach3.","niqu. Macehualli quimatlalhuilia ceyoc ce tlamantli para ma quicui. “Notatah quiitzquiltih ce pantzin noconeuh para ma quicua. ” ","# Persona que le pone una cosa en la mano otra y no se cae. “Jorge le dio pan en la mano a su abuelito  el que esta enfermo para que lo coma.”","","to put s.t. in another’s hand and have them grab it.","itzquiā, ltiā1.","IDIEZ"
